COUNTY,AWAITING_TESTING,INCONCLUSIVE,NEGATIVE,POSITIVE,PERCENT_POSITIVE,TOTAL_TESTED,FILE_NAME
Dade,305,185,93099,13664,13,106948,html version of FL COVID Rep 05-08-2020
Broward,23,61,56793,5688,9,62542,html version of FL COVID Rep 05-08-2020
Palm Beach,64,224,35052,3615,9,38891,html version of FL COVID Rep 05-08-2020
Orange,16,32,32616,1478,4,34126,html version of FL COVID Rep 05-08-2020
Hillsborough,13,38,26922,1371,5,28331,html version of FL COVID Rep 05-08-2020
Lee,8,4,12431,1219,9,13654,html version of FL COVID Rep 05-08-2020
Duval,81,14,29997,1088,3,31099,html version of FL COVID Rep 05-08-2020
Pinellas,216,10,17671,828,4,18509,html version of FL COVID Rep 05-08-2020
Manatee,1,6,6313,742,11,7061,html version of FL COVID Rep 05-08-2020
Collier,7,2,5976,712,11,6690,html version of FL COVID Rep 05-08-2020
Escambia,14,7,9573,618,6,10198,html version of FL COVID Rep 05-08-2020
Polk,6,3,9157,601,6,9761,html version of FL COVID Rep 05-08-2020
Osceola,41,11,7218,554,7,7783,html version of FL COVID Rep 05-08-2020
Volusia,,10,11687,537,4,12234,html version of FL COVID Rep 05-08-2020
Sarasota,2,1,5690,416,7,6107,html version of FL COVID Rep 05-08-2020
Seminole,3,9,9323,410,4,9742,html version of FL COVID Rep 05-08-2020
Brevard,1,3,11364,326,3,11693,html version of FL COVID Rep 05-08-2020
Charlotte,6,1,2887,312,10,3200,html version of FL COVID Rep 05-08-2020
Alachua,,8,7688,306,4,8002,html version of FL COVID Rep 05-08-2020
Clay,,1,4349,293,6,4643,html version of FL COVID Rep 05-08-2020
Pasco,21,6,7099,291,4,7396,html version of FL COVID Rep 05-08-2020
St. Lucie,54,4,3993,275,6,4272,html version of FL COVID Rep 05-08-2020
Leon,9,3,5136,249,5,5388,html version of FL COVID Rep 05-08-2020
Martin,6,,2021,243,11,2264,html version of FL COVID Rep 05-08-2020
Sumter,24,1,1991,239,11,2231,html version of FL COVID Rep 05-08-2020
Lake,11,5,8081,237,3,8323,html version of FL COVID Rep 05-08-2020
St. Johns,24,11,5980,223,4,6214,html version of FL COVID Rep 05-08-2020
Marion,363,1,5586,202,3,5789,html version of FL COVID Rep 05-08-2020
Liberty,,,1313,196,13,1509,html version of FL COVID Rep 05-08-2020
Okaloosa,1,1,2949,165,5,3115,html version of FL COVID Rep 05-08-2020
Santa Rosa,1,2,3759,162,4,3923,html version of FL COVID Rep 05-08-2020
Flagler,,4,1916,147,7,2067,html version of FL COVID Rep 05-08-2020
Suwannee,,,1108,145,12,1253,html version of FL COVID Rep 05-08-2020
Hendry,1,,780,133,15,913,html version of FL COVID Rep 05-08-2020
Gadsden,2,,694,123,15,817,html version of FL COVID Rep 05-08-2020
Putnam,4,1,2158,120,5,2279,html version of FL COVID Rep 05-08-2020
Citrus,1,2,1846,102,5,1950,html version of FL COVID Rep 05-08-2020
Columbia,6,,1413,102,7,1515,html version of FL COVID Rep 05-08-2020
Indian River,54,,2100,100,5,2200,html version of FL COVID Rep 05-08-2020
Hernando,,,1992,98,5,2090,html version of FL COVID Rep 05-08-2020
Highlands,6,1,1516,93,6,1610,html version of FL COVID Rep 05-08-2020
Monroe,23,,1459,80,5,1539,html version of FL COVID Rep 05-08-2020
Bay,,2,1723,76,4,1801,html version of FL COVID Rep 05-08-2020
Jackson,,,695,74,10,769,html version of FL COVID Rep 05-08-2020
Madison,4,,448,61,12,509,html version of FL COVID Rep 05-08-2020
Nassau,,,1742,60,3,1802,html version of FL COVID Rep 05-08-2020
Walton,,1,744,51,6,796,html version of FL COVID Rep 05-08-2020
Bradford,1,,834,48,5,882,html version of FL COVID Rep 05-08-2020
Desoto,5,,1236,42,3,1278,html version of FL COVID Rep 05-08-2020
Hardee,,,228,35,13,263,html version of FL COVID Rep 05-08-2020
Unknown,1,,157,33,17,190,html version of FL COVID Rep 05-08-2020
Wakulla,1,,553,29,5,582,html version of FL COVID Rep 05-08-2020
Jefferson,,,174,28,14,202,html version of FL COVID Rep 05-08-2020
Baker,,,465,24,5,489,html version of FL COVID Rep 05-08-2020
Calhoun,1,1,168,24,12,193,html version of FL COVID Rep 05-08-2020
Okeechobee,,,869,23,3,892,html version of FL COVID Rep 05-08-2020
Levy,,,828,20,2,848,html version of FL COVID Rep 05-08-2020
Washington,,,322,12,4,334,html version of FL COVID Rep 05-08-2020
Dixie,,,265,12,4,277,html version of FL COVID Rep 05-08-2020
Holmes,,,515,10,2,525,html version of FL COVID Rep 05-08-2020
Hamilton,,,212,8,4,220,html version of FL COVID Rep 05-08-2020
Gilchrist,,,285,6,2,291,html version of FL COVID Rep 05-08-2020
Glades,,,79,6,7,85,html version of FL COVID Rep 05-08-2020
Union,2,,278,5,2,283,html version of FL COVID Rep 05-08-2020
Taylor,,,257,3,1,260,html version of FL COVID Rep 05-08-2020
Lafayette,,,89,3,3,92,html version of FL COVID Rep 05-08-2020
Franklin,,,120,2,2,122,html version of FL COVID Rep 05-08-2020
Gulf,,,160,1,1,161,html version of FL COVID Rep 05-08-2020
Total,1433,676,474142,39199,8,514017,html version of FL COVID Rep 05-08-2020
