County,Awaiting testing,Inconclusive,Negative,Positive,Percent positive,Total tested,Date
Dade,302,184,94727,13841,13%,108752,05-09-2020
Broward,23,60,58085,5780,9%,63925,05-09-2020
Palm Beach,64,223,36158,3798,9%,40179,05-09-2020
Orange,16,34,33685,1505,4%,35224,05-09-2020
Hillsborough,15,40,27987,1400,5%,29427,05-09-2020
Lee,9,4,12915,1249,9%,14168,05-09-2020
Duval,79,14,30804,1134,4%,31952,05-09-2020
Pinellas,240,12,18101,848,4%,18961,05-09-2020
Manatee,,6,6645,756,10%,7407,05-09-2020
Collier,5,2,6106,734,11%,6842,05-09-2020
Escambia,15,7,9788,634,6%,10429,05-09-2020
Polk,4,3,9543,623,6%,10169,05-09-2020
Osceola,44,12,7476,564,7%,8052,05-09-2020
Volusia,,9,11948,540,4%,12497,05-09-2020
Sarasota,2,1,6037,418,6%,6456,05-09-2020
Seminole,3,9,9637,411,4%,10057,05-09-2020
Brevard,1,3,11631,328,3%,11962,05-09-2020
Charlotte,6,1,2910,317,10%,3228,05-09-2020
Alachua,,8,7897,308,4%,8213,05-09-2020
Clay,,1,4509,299,6%,4809,05-09-2020
Pasco,23,6,7243,293,4%,7542,05-09-2020
St. Lucie,59,4,4739,280,6%,5023,05-09-2020
Leon,10,3,5272,252,5%,5527,05-09-2020
Martin,6,,2114,245,10%,2359,05-09-2020
Lake,10,6,8531,240,3%,8777,05-09-2020
Sumter,24,1,2037,240,11%,2278,05-09-2020
St. Johns,23,11,6061,222,4%,6294,05-09-2020
Marion,363,1,5775,210,4%,5986,05-09-2020
Liberty,,,1321,196,13%,1517,05-09-2020
Santa Rosa,1,2,3884,172,4%,4058,05-09-2020
Okaloosa,1,1,2971,168,5%,3140,05-09-2020
Flagler,,4,1995,147,7%,2146,05-09-2020
Suwannee,,,1125,145,11%,1270,05-09-2020
Hendry,1,,798,136,15%,934,05-09-2020
Gadsden,1,,718,128,15%,846,05-09-2020
Putnam,3,1,2188,125,5%,2314,05-09-2020
Citrus,1,2,1869,104,5%,1975,05-09-2020
Columbia,6,,1433,102,7%,1535,05-09-2020
Indian River,56,,2151,100,4%,2251,05-09-2020
Hernando,,,2018,98,5%,2116,05-09-2020
Highlands,6,1,1560,96,6%,1657,05-09-2020
Monroe,20,,1514,89,6%,1603,05-09-2020
Bay,,2,1769,76,4%,1847,05-09-2020
Jackson,,,712,72,9%,784,05-09-2020
Madison,1,,460,61,12%,521,05-09-2020
Nassau,1,,1779,60,3%,1839,05-09-2020
Walton,,1,753,55,7%,809,05-09-2020
Unknown,1,,158,49,24%,207,05-09-2020
Bradford,1,,890,48,5%,938,05-09-2020
Desoto,5,,1240,47,4%,1287,05-09-2020
Hardee,,,236,36,13%,272,05-09-2020
Wakulla,,,575,29,5%,604,05-09-2020
Jefferson,1,,177,28,14%,205,05-09-2020
Calhoun,,1,182,27,13%,210,05-09-2020
Baker,,,488,24,5%,512,05-09-2020
Okeechobee,,2,895,23,3%,920,05-09-2020
Levy,,,843,20,2%,863,05-09-2020
Dixie,,,275,13,5%,288,05-09-2020
Washington,,,324,12,4%,336,05-09-2020
Holmes,,,517,10,2%,527,05-09-2020
Hamilton,,,233,8,3%,241,05-09-2020
Glades,,,79,7,8%,86,05-09-2020
Gilchrist,,,301,6,2%,307,05-09-2020
Union,,,293,6,2%,299,05-09-2020
Taylor,,,267,3,1%,270,05-09-2020
Lafayette,,,89,3,3%,92,05-09-2020
Franklin,,,122,2,2%,124,05-09-2020
Gulf,,,167,1,1%,168,05-09-2020
Total,1452,682,487730,40001,8%,528413,05-09-2020
